row  column  C_K  N_K  O_K  Na_K  Mg_K  Fe_L  Cu_L  Scatter_Peak000  Scatter_Compton000  s(C_K)  s(N_K)  s(O_K)  s(Na_K)  s(Mg_K)  s(Fe_L)  s(Cu_L)  s(Scatter_Peak000)  s(Scatter_Compton000)  chisq
0  0  2930.56  51.0504  63.465  2437.09  459.14  73.7303  277.98  286028  1068.65  54.2438  9.05874  9.00564  55.812  38.057  10.5014  27.0924  3699.96  3655.67  1.99984
0  1  2955.46  79.299  78.8024  2300.4  381.532  64.229  181.324  268653  11907  54.702  10.2588  9.77419  54.5896  38.5201  11.1292  25.3281  3673.64  3636.27  1.76454
0  2  3010.36  54.9057  96.0245  2486.02  380.241  57.6265  259.025  268610  7843.02  55.1242  9.22612  10.2652  56.2686  37.576  10.8691  27.0955  3656.2  3617.78  1.81727
0  3  2915.94  49.0713  96.8503  2511.5  439.054  60.8385  341.777  267716  16460.1  54.2927  9.11942  10.3826  55.6334  36.551  11.0688  28.0662  3700.79  3664.47  2.00015
0  4  2827.34  52.491  87.4925  2407.37  604.392  70.1825  393.962  264125  7198.33  53.3168  9.47508  10.1918  53.7484  35.4407  10.3548  27.5889  3613.23  3575.16  2.05917
0  5  2959.84  70.1911  81.9012  2487.3  463.171  68.2295  299.042  253312  13663.6  54.5811  9.87031  9.61586  55.3884  35.5476  10.3207  26.7221  3579.51  3543.71  1.88451
0  6  3525.37  44.8869  114.646  4257.83  509.763  88.328  365.726  253501  24039.2  59.7878  9.04771  11.8219  71.055  38.302  11.2141  30.1004  3650.57  3617.22  2.1708
0  7  3800.59  53.6925  90.0497  5067.41  482.446  84.4268  314.171  261579  24008.9  61.8069  9.35028  10.688  76.6326  39.2601  12.5899  29.3824  3700.02  3665.4  1.88537
0  8  3718.53  62.4663  120.258  5496.29  609.67  102.467  350.195  263781  27779.9  61.1872  9.82183  11.5817  79.6026  40.9195  12.4547  30.9975  3738.58  3704.7  2.09247
0  9  2898.1  45.948  93.4372  5746.44  552.875  87.544  243.138  240263  34350.7  53.9515  8.99743  10.0003  81.6586  40.106  11.7689  28.9883  3620.82  3590.15  1.87762
0  10  2804.7  68.9674  78.3639  5179.13  455.153  80.9527  270.274  235433  36300.7  53.1582  9.67893  9.40296  77.2055  37.4718  11.7453  27.9239  3596.73  3566.39  2.0435
0  11  2428.44  55.704  136.603  5169.16  649.649  61.1349  383.231  242831  25594.9  49.4251  9.2522  11.8848  76.0594  38.5222  10.5881  28.9145  3577.94  3545.09  1.96157
