row  column  C_K  N_K  O_K  Na_K  Mg_K  Fe_L  Cu_L  Scatter_Peak000  Scatter_Compton000  s(C_K)  s(N_K)  s(O_K)  s(Na_K)  s(Mg_K)  s(Fe_L)  s(Cu_L)  s(Scatter_Peak000)  s(Scatter_Compton000)  chisq
0  0  2832.1  36.5391  65.0392  200.725  164.013  48.1072  202.06  152668  9132.78  53.3651  8.41445  8.89788  17.8124  18.8367  9.13924  16.6356  2746.89  2719.22  1.79932
0  1  2740.07  45.4873  59.7491  138.373  144.745  53.6363  149.738  128652  27843.5  52.7605  8.66638  8.69892  15.6131  20.6307  9.2272  15.1221  2700.98  2679.33  1.57423
0  2  2777.84  36.8032  74.4225  169.573  200.716  42.7603  183.588  137197  28815.3  52.8161  8.46399  9.59817  16.964  20.9253  9.18172  16.6631  2773.71  2752.65  1.83492
0  3  2560.35  31.6778  51.7415  103.684  148.462  54.6212  152.745  129103  26374.7  50.739  8.26076  8.68979  15.5877  20.5498  9.33091  16.1513  2688.75  2668.65  1.74182
0  4  2542.43  44.0533  52.1042  166.301  236.901  48.6651  165.648  134810  20771.8  50.5793  8.65418  8.61871  17.5334  20.378  9.3138  16.5296  2687.7  2665.68  1.8725
0  5  2259.53  31.4065  36.4884  132.214  197.126  42.4639  159.663  117082  27385.4  47.7863  8.32589  8.09378  15.514  19.4724  8.999  15.8079  2598.14  2579.88  1.66299
0  6  2784.29  37.193  42.7553  202.081  222.345  60.7818  184.735  129070  22085.7  52.8852  8.52296  8.4273  18.0502  21.4891  9.54005  16.5946  2648.81  2627.79  1.71351
0  7  2283.52  45.3897  54.5283  243.022  208.05  54.6012  209.286  122071  23770.6  47.9467  9.04979  8.74669  18.5291  19.5771  9.20361  17.0257  2602.94  2583.16  1.68663
0  8  2726.84  41.6834  75.1798  207.399  227.787  47.6682  194.423  117160  22280.7  52.3548  8.62429  9.48838  17.8545  19.5765  9.22251  16.6769  2527.03  2507.24  1.53612
0  9  2680.36  43.5409  136.603  697.745  194.245  48.8572  168.347  136038  4699.18  51.8946  8.66487  12.2598  30.2106  21.5826  9.11984  17.741  2531.75  2504.73  1.58376
