row  column  C_K  N_K  O_K  Na_K  Mg_K  Fe_L  Cu_L  Scatter_Peak000  Scatter_Compton000  s(C_K)  s(N_K)  s(O_K)  s(Na_K)  s(Mg_K)  s(Fe_L)  s(Cu_L)  s(Scatter_Peak000)  s(Scatter_Compton000)  chisq
0  0  1558.07  141.449  1977.06  14874.8  1485.98  61.4348  406.818  250696  31.0291  39.8946  13.7795  45.0621  126.856  50.7794  11.512  34.9907  3408.34  3356.77  2.04109
0  1  1356.99  152.365  1687.51  14825.9  1450.44  50.2921  429.893  242318  135.004  37.3775  14.5701  42.0156  126.445  49.6246  12.1187  35.5556  3365.42  3319.85  1.89775
0  2  1450.02  98.3912  1595.04  14810.6  1390.26  53.5701  569.099  237245  1.46971  38.6748  12.5957  40.978  126.161  48.3385  11.425  37.0488  3314.89  3270.23  1.77929
0  3  1511.73  135.422  1596.16  14926  1419.53  48.9007  532.274  236010  136.38  39.1674  13.1182  40.335  126.496  48.1278  11.3384  36.8767  3309.45  3264.56  1.80797
0  4  1432.09  126.028  1682.75  14493.9  1446.78  95.4129  542.31  241421  160.143  38.1279  12.3838  41.2078  124.652  48.3893  13.0984  36.7073  3355.15  3308.58  1.98005
0  5  1399.92  118.046  1808.91  14099.7  1289.15  106.648  577.464  239315  175.049  37.7653  12.394  42.7746  123.244  47.0774  12.3633  36.7889  3338.72  3291.53  1.87475
0  6  1146.32  148.26  1970.17  14778.2  1313.16  71.5148  526.714  228693  13.4313  34.3071  14.0803  44.9572  125.868  46.3168  11.3549  36.4672  3267.32  3223.86  1.77227
0  7  1299.7  133.409  2297.74  16641.2  1585.41  66.2529  507.505  225781  135.538  36.6116  14.1688  48.8187  132.847  48.4662  13.1842  35.558  3228.42  3184.21  1.84934
0  8  1315.02  286.257  3457.14  22364.3  2150.96  84.9278  652.163  223110  152.459  36.7746  18.7364  59.5046  153.493  54.246  12.9921  39.812  3211.04  3165.87  2.18699
0  9  1166.62  391.365  4031.11  24158.8  2623.97  91.0479  774.813  218016  19.4801  34.7518  21.6592  64.2931  159.21  58.2253  13.4233  41.8402  3158.19  3114.88  2.06211
0  10  1079.25  464.105  4734.14  24203.4  2861.39  93.1746  676.082  215306  16.5597  33.467  23.1602  69.4445  159.608  60.5582  13.6453  41.4702  3138.35  3094.69  2.07551
0  11  1137.63  415.537  4770.83  24661.1  2962.02  84.7836  735.144  215993  21.0407  34.4851  22.6305  69.9304  161.135  61.8059  13.8607  42.3761  3161.42  3117.13  2.02199
0  12  1035.74  437.324  4798.76  24482.5  2763.42  72.2763  752.095  211934  17.5895  32.8093  22.7747  70.0452  160.453  60.0264  13.1442  42.015  3119.01  3076.29  1.97604
0  13  1030.08  454.356  4555.17  24671.4  2510.71  96.249  702.149  211119  10.7564  32.7441  23.1084  68.271  161.166  58.4488  14.6442  41.978  3118.43  3076.94  1.77736
0  14  1018.81  424.914  4785.78  24780  2488.99  93.3449  736.927  210388  14.7769  32.61  22.4952  70.0615  161.484  57.6546  14.8424  42.2558  3105.43  3061.61  2.02042
0  15  1022.01  444.755  4781.05  25187.1  2367.19  107.614  748.311  211509  15.0546  32.5481  22.5619  69.6515  162.623  57.0059  12.8092  41.2575  3113.59  3070.65  1.93347
0  16  1111.05  397.941  4874.85  25325.1  2388.82  71.3634  665.456  210357  16.2245  34.1685  22.2924  70.8305  162.946  56.6783  14.768  40.912  3106.09  3063  2.01537
0  17  1071.75  457.212  4723.57  25495.3  2473.57  82.9966  787.093  211279  28.4469  33.4895  23.448  69.6623  163.721  57.205  14.3243  43.211  3115.87  3070.04  2.08512
0  18  1036.29  500.869  4731.44  24982.6  2270.15  93.977  837.121  210325  133.074  32.9097  24.3  69.6409  162.062  55.6141  14.0853  43.2497  3118.55  3075.79  2.01025
0  19  962.148  423.755  4844.39  25837.7  2297.71  96.6719  671.649  210059  20.6211  31.7509  22.5331  70.4368  164.51  55.7767  14.5119  40.8094  3108.2  3063.48  2.06601
0  20  1068.77  433.584  4982.17  25324.7  1996.62  108.266  723.537  208514  16.9606  33.3486  22.7984  71.4178  163.205  53.4438  15.7188  42.38  3114.67  3071.73  1.88073
0  21  1041.21  410.577  4678.46  25364.2  2285.74  92.7751  786.946  208806  73.0296  32.9276  22.3025  69.2787  163.139  55.2654  14.7795  42.8375  3109.72  3068.45  1.70675
0  22  1122.15  449.995  4885.49  25327.8  2191.36  81.9533  696.791  208553  21.148  34.2281  23.1161  70.6229  163.029  54.8866  13.5416  41.3398  3101.07  3057.44  1.91086
0  23  1017.61  370.427  4548.33  25213.7  2181.29  128.723  772.775  205559  12.7233  32.524  20.8322  68.018  162.658  54.8766  14.635  42.0624  3065.22  3023.94  2.05409
0  24  1123.79  448.095  4638.4  24959.5  2012.88  104.049  720.158  205932  14.7228  34.3776  23.245  68.9662  162.252  54.2821  15.0576  42.6583  3083.89  3043.21  1.72133
0  25  1102.54  439.357  4665.99  25664.3  2238.97  88.8352  727.024  210463  2.78849  33.7837  22.5829  68.7707  164.177  55.4091  13.5902  42.1376  3112.33  3070.73  1.96082
0  26  1090.35  456.573  4803.98  25726.7  2238.65  68.3061  679.214  210613  19.9943  33.7502  23.2583  70.0499  164.444  55.7361  13.0873  41.9231  3108.13  3065.39  1.86834
0  27  1044.6  445.095  4691.17  25911  2198.75  86.4949  755.633  208376  16.9882  33.0593  23.1749  69.4683  165.029  55.445  14.7724  42.8816  3104.42  3063.67  1.91296
0  28  1151.64  427.715  4716.57  26049.8  2253.16  88.3547  739.099  208600  112.772  34.5093  22.3196  69.1657  165.194  54.9772  12.8927  41.9975  3095.39  3053.9  1.75593
0  29  1032.45  485.1  4561.5  25193.1  2048.45  123.164  777.102  205343  17.9243  32.9302  24.0349  68.3769  162.822  54.6087  15.4746  42.3849  3080.35  3038.2  1.86431
0  30  1061.48  525.42  4746.22  25656.8  2225.39  86.0792  705.106  205099  9.60384  33.0532  24.3597  69.4129  164.279  56.0098  13.5516  41.8659  3065.82  3024.4  1.8197
0  31  991.569  453.737  4691.97  25433.4  2220.61  81.6579  737.75  201256  82.9242  32.2372  23.408  69.5565  163.496  55.3382  15.5881  42.5193  3037.12  2995.88  1.72378
0  32  1049.93  451.192  4701.39  25438.1  2359.43  87.5728  887.58  202883  139.245  33.1184  23.2197  69.4678  163.444  55.9101  14.393  43.9067  3064.03  3021.53  2.2168
0  33  1077.85  420.795  4615.72  25548.4  2343.18  105.102  787.849  199612  76.2986  33.4324  22.1784  68.6825  163.643  55.4291  15.1624  42.9  3026.81  2987.65  1.78439
0  34  1105.14  468.729  4576.11  25875.2  2187.51  81.095  679.998  203139  16.3186  34.0719  23.7162  68.5684  164.895  55.2536  14.5507  41.8354  3058.37  3016.97  1.91244
0  35  1000.41  424.58  4704.43  25661.4  2439.46  85.6412  702.021  200270  15.6137  32.4071  22.6671  69.4765  163.978  56.5935  14.0708  41.5052  3036.49  2995.2  1.92489
0  36  1007.31  422.006  4546.94  26338  2288.63  83.7409  737.977  213788  12509.2  32.482  22.4224  68.1981  166.13  55.9336  13.5432  41.6821  3050.72  3007.65  5.6143
0  37  1052.91  434.456  4712.92  26195.8  2291.55  46.8495  636.544  202940  71.4356  33.1281  22.9395  69.6354  165.799  56.0496  14.271  41.4861  3055.42  3014.91  1.79311
0  38  1041.28  411.293  4594.71  25908.2  2324.59  51.5599  687.825  201672  113.97  33.0468  22.2602  68.6986  164.913  56.5286  13.2423  41.6084  3045.72  3004.46  1.66892
0  39  1086.49  381.134  4712.5  26190.7  2214.19  92.9491  727.637  202109  115.223  33.5692  21.2974  69.3364  165.696  55.1908  13.5546  41.7637  3053.8  3012.38  1.92985
0  40  1073.05  414.212  4642.79  26084.8  2357.08  71.1587  683.932  203193  17.8339  33.4856  22.4189  69.0759  165.454  56.2766  14.17  41.8339  3064.4  3023.01  1.7507
0  41  991.475  400.955  4818.25  26261.3  2174.98  69.2606  760.227  201985  7.2634  32.2541  21.9194  70.1153  166.098  55.0558  12.9355  42.8371  3039.65  2999.72  1.72013
0  42  1121.99  503.374  4801.04  26310  2363.25  142.257  769.5  201755  6.39063  34.1156  23.9158  69.8204  166.112  56.0191  14.5306  42.591  3041.3  3000.82  1.89265
0  43  1016.57  482.638  4604.06  26342.8  2520.17  68.5213  803.223  203359  20.0834  32.4997  23.7492  68.6372  166.051  57.1137  12.6958  42.8044  3052.48  3010.17  1.71739
0  44  1070.5  495.459  4766.11  26434.4  2343.96  126.158  799.498  200319  0.133761  33.2947  23.8324  69.4727  166.433  56.061  13.1603  42.5012  3047.79  3008.4  1.86818
0  45  1093.46  483.378  4585.4  26074.4  2390.58  78.5657  758.481  198680  1.99371  33.7407  23.819  68.5207  165.184  56.3425  13.2528  41.475  3020.09  2981.98  1.75672
0  46  1117.55  456.377  4732.2  25892.8  2315.52  85.8488  751.423  202090  12.5373  34.0662  23.2864  69.7384  164.928  56.0824  14.7428  42.6801  3049.4  3007.67  1.87839
0  47  975.931  422.868  4517.43  25925.5  2375.44  71.4397  801.656  201498  73.6783  32.0603  22.9224  68.336  165.017  56.0679  15.0151  43.4823  3044.82  3005.68  1.79045
0  48  1007.59  466.599  4581.38  26168.6  2304.67  76.4798  676.682  200415  80.859  32.4007  23.535  68.4712  165.849  55.993  13.7844  42.3086  3044.83  3005.38  1.89318
0  49  1041.44  465.885  4593.21  26319.8  2075.29  83.5171  576.435  199503  73.3233  32.8303  23.0787  68.3476  166.354  54.9558  13.7851  40.3994  3040.21  2999.95  1.80629
0  50  1089.43  348.74  4747.27  26189.7  2362.18  69.7229  731.246  202110  16.4664  33.7788  20.7981  69.801  165.692  56.4514  14.0427  41.9115  3041.85  2999.12  1.79805
0  51  1045.53  402.509  4489.66  25565.4  2126.94  71.4593  725.352  200135  13.9869  33.0241  22.03  67.8307  163.876  54.2067  13.7856  42.4354  3032.75  2992.94  1.88576
0  52  1086.08  464.082  4512.99  26188.9  2173.33  65.5102  644.465  202326  10.4081  33.5771  23.2877  67.8652  165.712  55.2593  13.432  41.0236  3050.13  3008.74  1.61364
0  53  1106.93  418.424  4551.78  26279.5  2241.37  83.5444  695.482  200910  117.45  33.7762  21.8829  67.9192  165.976  55.3195  12.6808  41.9682  3044.83  3003.48  1.78804
0  54  1047.01  350.492  4443.64  25971.9  2271.03  70.5546  793.9  201819  16.8884  33.0441  20.8543  67.5709  164.981  54.7156  14.5903  43.3386  3039.71  2997.77  1.82619
0  55  1166.89  424.784  4404.03  25565.6  2327.44  70.5548  842.979  199483  15.5307  34.8947  22.3493  67.0494  163.716  55.8408  12.9703  43.1203  3025.68  2983.46  1.76954
0  56  1131.47  420.244  4775.97  26603.4  2225.09  81.1454  778.464  200668  10.775  34.342  22.2901  69.7898  167.076  55.5236  14.3175  43.0673  3029.71  2987.2  1.82539
0  57  1088.27  376.3  4766.34  26255.3  2142.78  107.742  724.3  195671  8.9809  33.653  21.2755  69.6927  166.034  54.9835  13.9175  41.8399  2995.7  2956.05  1.77092
0  58  1040.22  469.521  4435.81  25683.7  2216.06  84.9897  708.799  199758  16.1468  32.8365  23.2826  67.2178  164.212  55.1413  13.4467  41.5963  3035.28  2993.34  1.72817
0  59  1065.76  433.196  4495.29  26385.1  2163.33  82.8099  683.02  200488  140.775  33.5778  22.8469  67.8594  166.445  55.1115  13.4314  41.6934  3045.33  3002.51  1.76447
0  60  1120.58  467.58  4611.69  26161.8  2305.03  105.768  730.322  196975  73.5248  34.1655  23.5505  68.6538  165.665  55.5713  14.3045  42.0748  3016.6  2977.24  1.83796
0  61  1191.2  458.416  4359.15  26262  2291.39  67.3482  723.958  197811  2.83647  35.0949  23.1827  66.7296  165.966  55.7707  12.3045  41.5973  3024.48  2984.98  1.67759
0  62  1156.11  408.131  4552.85  26496.7  2204.01  69.4522  735.371  197518  80.1842  34.7174  22.2879  68.2905  166.802  55.7552  13.4307  42.6956  3007.01  2967.15  1.6421
0  63  1229.73  442.384  4524.25  26373.9  2395.99  91.9714  750.598  197439  1.25274  35.7146  22.8982  68.0002  166.124  56.1852  13.8431  41.5812  3004.51  2965.15  1.86003
0  64  1022.21  441.692  4503.96  25657.2  2234.7  77.9819  720.964  192754  12.0491  32.588  22.8566  67.9187  163.752  54.2343  13.2845  40.9815  2973.79  2935.84  1.96947
0  65  1166.1  394.825  4143.41  25312.9  2144.9  72.9368  690.988  194576  11.0507  34.6926  21.6014  65.1722  163.067  54.6334  13.1315  41.4875  2984.94  2943.76  1.65594
0  66  1239.12  447.439  4655.22  26306.3  2410.44  88.216  815.384  196788  4.41902  35.7915  22.8669  68.9432  165.776  56.0374  13.6875  42.2467  3002.88  2960.76  1.77102
0  67  1053.2  407.959  4443.99  26539.6  2325.77  70.4464  708.31  195936  9.85715  33.0651  22.0036  67.3967  166.512  55.5192  12.4792  40.5274  2976.67  2934.57  1.97926
0  68  1034.63  352.842  4311.86  25263.6  2273.12  104.872  711.312  190017  44.9625  32.7639  20.7076  66.4845  162.287  53.5698  14.627  39.9295  2938.23  2899.42  2.00307
0  69  1063.95  386.489  3861.52  23647.8  1931.17  86.9933  578.979  187309  4.46745  33.0877  21.0959  62.6622  157.337  51.5118  14.0781  38.5885  2914.78  2873.62  1.81054
0  70  1120.76  314.06  3725.25  22290.7  1973.75  70.9774  506.975  182313  0.0706615  33.8592  18.975  61.385  152.854  51.9889  11.7038  36.6872  2868.61  2829.08  1.60069
0  71  1123.95  313.398  3913.38  21906  2041.77  85.1526  566.472  179645  96.3547  33.9865  18.8166  62.7028  151.054  51.3206  11.5803  35.8238  2832.88  2792.88  1.77707
0  72  1181.17  276.399  3892.76  21666.3  1931.61  81.8579  523.888  176626  8.44866  34.7846  18.0085  62.8013  150.333  50.5326  12.0512  35.3184  2810.15  2770.02  1.75395
0  73  1118.86  288.429  3641.58  21747.1  2081.73  91.9311  595.278  174174  17.7912  33.808  17.9907  60.5497  150.347  51.1475  11.6784  35.6995  2784.61  2742.56  1.97871
