row  column  C_K  N_K  O_K  Na_K  Mg_K  Fe_L  Cu_L  Scatter_Peak000  Scatter_Compton000  s(C_K)  s(N_K)  s(O_K)  s(Na_K)  s(Mg_K)  s(Fe_L)  s(Cu_L)  s(Scatter_Peak000)  s(Scatter_Compton000)  chisq
0  0  1636.23  32.4004  125.644  4290.69  440.317  53.5677  300.097  193584  459.731  40.6283  8.46117  11.5975  68.8448  29.3122  9.61039  25.2628  3011.04  2947.14  3.088
0  1  1491.7  42.1352  106.069  4247.6  455.549  67.6362  287.546  192124  409.442  38.8255  8.49341  10.7903  68.5592  29.7617  9.83602  24.93  3020.25  2960.26  2.79297
0  2  1507.14  39.2125  98.886  4152.43  325.976  70.283  257.761  186855  0.222653  39.0287  8.35606  10.3593  68.4419  28.1688  10.2373  25.4332  2947.35  2887.78  2.46829
0  3  1603.88  30.0201  88.3996  4149.91  341.076  74.7777  334.76  222758  40031  40.3116  8.50216  10.0722  68.2457  28.1343  10.1181  26.2025  2972.21  2913.21  45.8519
0  4  2085.44  41.5475  136.802  3817.97  288.784  91.0901  279.272  233636  38019.6  45.8537  8.58743  12.1026  65.5182  27.9037  11.0433  24.8252  3068.35  3009.74  38.9405
0  5  2710.26  50.1728  140.315  4153.96  369.319  58.5369  248.848  218772  441.615  52.231  9.01408  12.0347  68.3044  29.9889  10.153  25.2481  3227.74  3165.05  2.81559
0  6  2046.64  36.1893  172.581  5774.33  439.86  68.9165  282.676  188318  348.977  45.3643  8.46276  13.5231  79.3419  30.401  10.1867  25.4992  2984.87  2928.64  2.38375
0  7  2220.9  34.7344  269.724  7201.3  516.802  68.5483  338.027  195888  479.432  47.3075  8.66178  16.7801  88.6684  32.2007  10.6907  28.8111  3044.75  2980.32  3.22142
0  8  2051.66  46.4998  243.444  8907.99  655.379  81.693  317.551  209543  478.003  45.5656  8.89965  15.8569  97.8465  33.8974  10.8074  29.0831  3152.15  3088.42  3.27375
0  9  2009.42  48.1487  205.037  8635.81  566.08  84.9644  273.823  205841  475.189  45.1038  9.26071  14.6473  97.1142  35.0233  10.6034  28.91  3121.56  3057.08  2.91251
0  10  2585.03  37.1767  297.984  7685.01  640.257  89.6264  375.411  224470  448.254  51.0366  8.70072  17.4939  91.213  35.1585  10.7747  29.3051  3239.1  3174.99  2.84853
0  11  2007.5  27.5836  126.209  8061.37  701.628  43.7725  315.874  200086  421.622  45  8.21058  11.9221  93.3024  34.6485  9.5819  28.5833  3071.04  3010.43  2.68494
0  12  3009.67  47.2736  154.65  7208.02  572.483  54.2626  354.519  229657  1.76339  55.0976  8.8697  13.5726  88.8045  35.02  10.2382  29.3159  3276.7  3212.27  2.82809
0  13  2119.77  35.5098  148.222  6810.95  587.689  75.7524  375.744  233234  38897.7  46.1812  8.35334  12.4449  85.7615  32.7004  9.86396  27.5406  3042.63  2983.79  41.0079
0  14  2925.86  44.5509  177.775  5447.52  471.785  71.5343  320.866  263553  45224.4  54.2712  8.92342  13.7628  77.3798  32.2344  10.0946  26.7162  3255.42  3192.35  48.9216
0  15  1732.5  35.6008  144.968  5833.91  505.558  57.45  283.89  193705  1.20986  41.7987  8.4053  12.3285  79.468  30.8326  9.39384  25.1395  3015.27  2954.48  2.70457
0  16  2782.13  41.4465  135.86  4966.03  454.095  80.3988  231.024  220664  459.592  52.9147  8.59206  11.9553  73.9205  31.7709  10.3824  24.369  3236.55  3172.56  2.88818
