row  column  C_K  N_K  O_K  Na_K  Mg_K  Fe_L  Cu_L  Scatter_Peak000  Scatter_Compton000  s(C_K)  s(N_K)  s(O_K)  s(Na_K)  s(Mg_K)  s(Fe_L)  s(Cu_L)  s(Scatter_Peak000)  s(Scatter_Compton000)  chisq
0  0  3033.98  30.1458  68.6657  166.295  148.59  55.4945  77.6708  158540  16675.5  55.2331  8.29114  9.01679  18.0325  21.4883  9.62783  13.2004  2885.83  2859.49  1.40648
0  1  2911.41  28.2191  46.5649  132.996  205.291  51.982  103.861  138869  27820.8  54.0992  8.59045  8.2683  15.4849  19.7266  9.32861  13.428  2807.08  2785.71  1.55687
0  2  3041.43  25.151  68.9649  198.54  176.98  47.2373  140.508  152621  24842.3  55.3634  8.24078  9.31608  17.3378  20.9372  9.21368  14.8073  2883.92  2860.27  1.63973
0  3  3094  48.2465  61.3258  226.668  204.076  61.407  128.108  165800  17543.3  55.9384  8.73489  9.23838  18.1427  20.4087  9.51498  14.392  2943.48  2916.44  1.7817
0  4  3337.59  42.2264  84.857  385.21  220.11  59.0738  144.576  181335  10927.7  57.9641  8.71312  9.80313  22.2728  22.4113  9.22876  15.1325  3015.24  2985.08  1.78813
0  5  2332.72  59.8496  442.618  1757.2  184.113  62.0991  145.673  147464  16401.6  48.4987  9.43811  21.2851  45.3268  22.2316  9.84985  18.2691  2770.19  2745.31  1.34821
0  6  3191.55  167.746  2628.89  16114  907.921  68.6133  404.528  189737  10121  56.9164  15.7117  52.173  130.671  40.4146  13.3518  33.8062  3068.91  3038.22  1.53023
0  7  3245.69  158.416  2664.95  21695  1312.8  101.877  701.325  191549  17156  57.4528  14.9423  52.258  151.26  46.2558  12.8132  40.3539  3136.82  3107.15  1.73731
0  8  2223.26  96.4357  2090.89  23325.7  1624.97  80.0626  629.661  214337  376.553  47.5821  12.416  46.2751  156.845  50.1338  12.3856  40.4324  3196.57  3161.1  1.94647
0  9  1729.34  57.8791  1429.36  19630.8  1450.03  80.2707  514.77  208965  243.882  41.93  9.87959  38.4328  143.93  47.3017  11.5873  36.8893  3141.28  3106.92  1.65576
0  10  1583.73  112.816  1847.93  17341.7  1105.33  92.9387  564.64  192110  12516.2  40.1655  12.4611  43.568  135.703  43.3823  12.8327  36.8605  3113.66  3083.6  1.63685
0  11  1176.28  131.304  2098.57  17619.9  1122.5  71.3509  524.445  191145  1236.05  34.7832  13.6789  46.549  136.625  43.2646  12.2523  36.4902  3022.79  2988.23  1.70455
0  12  1618.66  84.8449  1836.59  17434.1  1079.79  74.7803  463.236  195389  1675.99  40.5566  11.1687  43.3625  136.157  44.2739  11.3624  35.4101  3050.28  3017.24  1.53298
0  13  1117.45  126.333  2119.88  17710.1  1091.07  75.5872  611.11  185670  1248.53  33.8733  13.355  46.7602  136.869  42.0988  12.2118  37.7262  2969.03  2937.03  1.53687
0  14  1536.34  106.494  2136.58  18158.4  1048.23  74.951  434.542  182627  9410.11  39.4133  11.7186  46.4297  138.744  42.8033  11.0655  35.392  3020.02  2990.09  1.54842
0  15  1129.39  180.722  2277.1  18566.9  1220.53  90.1661  585.558  181954  989.825  34.0486  15.2836  48.1365  139.969  43.6129  11.8148  37.005  2946.3  2914.45  1.60137
0  16  1297.42  167.57  2551.91  18588.1  1338.69  90.8368  519.05  188141  38.7258  36.3945  14.5544  50.8897  139.948  44.5403  12.7177  36.2726  3002.71  2968.24  1.73489
0  17  1111.08  119.063  2113.1  18431.7  1333.65  60.5301  393.611  177478  4615.11  33.7915  12.9345  46.7005  139.371  45.1714  11.7968  33.8047  2942.55  2912  1.54386
0  18  1087.02  190.111  2479.19  17417.2  1150.99  103.862  492.545  179811  1033.01  33.4575  15.5107  50.2167  135.426  42.2902  12.1929  34.6454  2931.12  2899.76  1.54967
0  19  927.709  139.641  1878.08  16155.4  1098.23  76.0441  562.896  167673  3135.78  30.8762  13.4755  43.7474  130.682  41.0467  11.5058  35.9984  2851.7  2821.88  1.44201
0  20  1236.19  116.748  2010.43  15960.6  1094.16  112.571  491.067  172331  5210.69  35.5108  12.2911  45.2425  129.798  41.7465  12.2613  33.3892  2894.02  2864.02  1.71097
0  21  1562.1  77.776  1839.25  16591.6  1083.04  80.7549  425.437  176259  3383.46  39.8153  10.4272  43.2397  132.416  41.9658  11.6423  33.4769  2927.3  2896.63  1.53684
0  22  1152.2  156.397  2153.68  18186.9  1272.54  90.2992  472.897  168645  7054.08  34.2924  14.23  46.9614  138.349  43.5838  12.1047  35.0541  2883.89  2855.07  1.40331
0  23  1407.13  73.2471  1614.24  17181.5  1089.12  78.4197  448.208  180270  64.2382  37.9108  10.7072  40.6616  134.545  41.5577  11.4151  33.8842  2927.75  2895.58  1.51851
0  24  1409.73  163.269  2169.85  17279.4  1102.34  85.5549  489.253  172344  6771.07  37.986  14.6352  47.1996  134.699  41.5793  12.3313  33.9645  2911.57  2881.98  1.49904
0  25  1466.72  99.4116  1822.47  17611  1046.19  72.0983  377.201  181170  222.793  38.9699  12.0832  43.2723  136.47  42.7843  11.6352  33.2848  2929.15  2896.71  1.37908
0  26  1377.84  156.01  2471.96  17592.9  1038.81  80.8622  425.876  172667  4035.77  37.4689  14.334  50.2624  136.369  42.1805  11.6107  34.2952  2901.98  2871.93  1.46094
0  27  1494.09  68.7792  1711.16  17212.2  1006.5  93.7217  530.283  172165  5235.05  38.9453  10.5486  41.7092  134.806  41.4072  11.1688  34.6932  2911.48  2879.34  1.6331
0  28  1115.5  124.095  1942.43  17123.8  1062.77  54.0037  398.909  169048  2416.22  33.8914  13.411  44.8185  134.347  41.327  11.4021  33.26  2848.65  2817.6  1.38589
0  29  1300.68  120.689  1741.57  17013.4  1100.21  75.0554  405.103  173955  43.54  36.3148  12.3082  41.9751  133.845  42.2373  10.4435  32.7682  2876.6  2844.42  1.38109
0  30  1408.14  133.98  2191  16734.5  991.817  56.8569  383.232  166881  5216.19  37.8758  13.468  47.3342  132.916  40.9465  10.6047  32.4856  2848.27  2818.67  1.42782
0  31  1364.48  72.4705  1563.95  16802.6  1150.55  68.5533  447.353  172859  816.906  37.2049  10.2541  40.1286  133.083  41.9591  10.9773  33.7391  2871.53  2840.25  1.64518
0  32  1267.75  106.001  1783.76  16282.7  1088.02  79.1962  462.008  166473  2178.7  35.9584  11.8072  42.6155  131.15  41.6233  11.2849  33.8363  2827.9  2797.83  1.58808
0  33  1564.89  50.4552  1239.37  14899.2  982.289  84.5395  373.14  176182  641.269  39.8128  9.06651  35.4615  125.778  40.3294  10.9485  32.4676  2906.96  2875.55  1.47804
0  34  1319.45  79.448  1463.45  14950.2  1132.26  56.8745  363.209  172795  304.919  36.6357  10.6266  38.4886  125.639  41.3436  10.1697  31.7707  2868.13  2836.12  1.45095
0  35  1578.48  54.5772  964.63  14989  1042.3  65.377  347.454  179812  60.412  39.9282  9.20471  31.377  126.097  41.577  11.0156  31.8967  2927.92  2895.71  1.44864
0  36  1902.68  58.3943  1085.78  14113.2  1036.25  96.9682  392.067  187117  2112.92  43.9212  9.70953  33.3949  122.523  41.9471  11.5258  31.9087  3005.05  2973.03  1.49295
0  37  2681.74  42.6259  762.667  15797.3  1175.54  69.2961  431.398  205547  5978.3  51.9298  9.14267  28.0314  129.41  44.2312  10.8277  33.1106  3168.98  3136.13  1.78393
0  38  1870.06  71.8202  1144.45  19581.8  1343.93  93.4635  595.896  189882  12684.7  43.4843  10.2658  34.0234  143.867  46.4966  11.9486  37.3491  3101.62  3071.47  1.84908
0  39  2301.2  84.0411  1568.18  21081.8  1523.3  72.6266  702.811  219049  2450.33  48.1131  11.0834  40.3761  149.371  48.2906  13.5176  41.4325  3234.38  3199.71  2.03384
0  40  1030.74  260.844  2553.37  16462.4  1098.19  62.6044  487.501  178818  1608.02  32.6011  17.8651  51.0856  132.193  42.0808  11.3573  35.8635  2953.36  2920.97  1.71408
0  41  724.9  159.203  1773.48  10813.1  630.038  56.5544  319.444  156015  7119.46  27.3837  14.3572  42.7479  107.553  34.7331  10.9699  29.6393  2795.5  2767.71  1.32953
0  42  839.909  37.5218  329.392  1396.91  236.32  51.5122  173.08  102727  31857.8  29.2538  8.46043  18.5612  39.5292  20.9152  9.27553  17.095  2537.58  2522.52  1.19844
0  43  880.342  21.7575  67.2234  343.29  225.854  54.3711  103.785  145597  17879.2  29.9614  8.10853  9.55725  21.4141  19.5363  9.36038  14.2489  2798.9  2774.33  1.47154
0  44  748.598  22.8734  56.6059  248.233  189.54  53.1205  112.655  115456  23935.4  27.6503  8.05423  9.03123  18.4472  17.7765  9.3383  13.06  2573.23  2553.85  1.29225
