row  column  C_K  N_K  O_K  Na_K  Mg_K  Fe_L  Cu_L  Scatter_Peak000  Scatter_Compton000  s(C_K)  s(N_K)  s(O_K)  s(Na_K)  s(Mg_K)  s(Fe_L)  s(Cu_L)  s(Scatter_Peak000)  s(Scatter_Compton000)  chisq
0  0  1798.43  30.1902  65.153  137.587  343.479  63.7479  204.244  218404  1.85199  42.6044  8.23893  8.84364  17.5558  26.3308  10.0055  18.4689  3216.59  3179.88  1.54094
0  1  1608.39  31.9883  58.4398  174.2  202.714  72.3094  207.788  203289  7330.29  40.3034  8.32086  8.87449  18.6086  23.4789  10.1439  17.9638  3155.72  3122.7  1.74946
0  2  1798.12  38.3772  59.6007  182.434  251.868  62.7417  149.365  184055  23841.2  42.5751  8.26657  8.80429  18.7644  23.9767  9.91802  16.856  3131  3101.69  1.56502
0  3  1762.47  29.4154  61.0858  144.964  198.606  65.8063  216.142  190586  18276.4  42.1469  8.16941  9.07548  16.4753  23.3738  9.91387  17.8649  3135.68  3106.25  1.80341
0  4  1810.43  43.5625  43.5131  153.82  206.476  68.5569  151.282  179989  19483.8  42.7108  8.42111  8.41899  17.9681  22.3797  10.1349  16.5643  3049.23  3020.39  1.43531
0  5  1156.56  21.8464  42.0845  144.331  190.762  36.6481  122.746  148600  5725.44  34.1948  7.86412  8.46173  14.8208  18.8791  8.92188  13.5264  2640.49  2611.84  1.36341
0  6  1737.27  31.3075  49.5536  169.439  143.841  61.3588  181.43  165471  9993.15  41.8198  7.99264  8.43685  16.0849  18.5058  9.37707  15.5594  2818.37  2788.81  1.48127
0  7  2023.03  23.8971  45.6004  114.479  171.306  50.5681  156.783  161905  8378.04  45.1038  7.97294  8.21049  14.5176  19.856  9.03873  15.2909  2757.82  2728.62  1.56596
0  8  1984.31  28.2335  46.2469  104.562  186.812  55.1626  121.585  156128  12521.1  44.6759  7.89695  8.19615  14.1946  21.2396  8.92331  13.8766  2751.99  2724.5  1.46047
0  9  1842.61  19.3695  40.3392  123.432  106.581  30.6056  85.5994  145146  3198.78  43.0683  8.0605  8.05113  14.9705  17.6111  8.8639  12.7122  2571.71  2543.07  1.29394
0  10  2312.24  30.5808  44.1269  146.607  159.446  53.8512  95.9968  145584  15523.4  48.181  8.0021  8.41428  14.8041  17.895  9.18283  12.5376  2692.24  2666.52  1.437
0  11  2957.96  40.6908  47.2306  93.0863  193.143  39.8039  165.14  170426  3552.49  54.4775  8.67934  8.57494  13.0324  19.8737  8.87309  14.9539  2804.03  2772.89  1.48912
0  12  2321.16  33.9607  47.7684  185.947  130.979  44.3659  123.364  153685  11609.8  48.3665  8.1787  8.41797  17.5471  19.4437  8.93063  14.3366  2738.89  2711.67  1.37931
0  13  2645.31  38.9929  50.8328  143.835  190.802  48.8429  119.769  167836  3162.14  51.5574  8.43893  8.70085  15.3089  20.1641  9.28548  13.5011  2796.6  2765.98  1.69846
0  14  2136.41  29.5841  44.5109  107.662  159.445  34.2757  118.59  142029  7800.15  46.3675  8.15976  8.43639  13.2336  18.5034  9.01519  12.8954  2640.34  2613.82  1.52099
0  15  3246.68  38.5681  55.0233  137.31  163.907  45.1444  138.702  166397  14600.8  57.1459  8.57708  8.67204  16.7086  20.2911  9.24677  15.8786  2913.87  2886.31  1.60486
0  16  3208.75  46.2521  54.4298  263.188  226.845  52.3435  128.608  179397  10000.6  56.7885  8.63395  8.84504  20.6197  22.937  9.42658  16.0024  2987.86  2957.92  1.55115
0  17  4031.47  49.0299  75.1884  346.393  273.283  44.6318  160.19  200734  10252.4  63.6905  9.21711  9.44864  23.348  24.9488  9.2303  17.5294  3184.22  3152.4  1.76376
0  18  3232.64  29.7453  98.8558  452.142  187.216  69.8677  179.397  207904  1599.86  57.0192  8.4395  10.5247  25.5606  22.47  9.96117  17.5106  3169.98  3135.26  1.92801
0  19  2980.71  38.8251  176.502  1207.27  345.512  63.1296  221.037  205169  964.256  54.7631  8.63054  13.5179  38.6808  27.9844  9.89226  20.7629  3128.32  3090.51  1.72285
0  20  2436.22  43.2243  155.497  1615.94  505.672  59.9425  182.989  198458  9285.36  49.5101  8.72014  12.9063  43.7709  31.1688  10.1742  20.0729  3146.01  3114.26  1.72474
0  21  2222.98  30.4577  72.2603  450.849  252.818  55.9255  182.307  180698  14026.2  47.3437  8.54104  9.29281  25.6171  24.5541  9.428  18.1103  3041.81  3012.76  1.42924
0  22  1712.01  25.8055  51.6551  146.839  240.357  57.1636  117.007  148088  21598.5  41.569  8.2544  8.48854  17.0354  22.3566  9.55153  14.9628  2837.37  2813.87  1.50976
0  23  2933.51  36.1033  65.4209  157.114  193.55  59.7308  160.928  173812  12796.7  54.3613  8.41536  8.87994  17.8428  22.5689  9.53105  17.1397  2956.98  2927.76  1.6256
