row  column  C_K  N_K  O_K  Na_K  Mg_K  Fe_L  Cu_L  Scatter_Peak000  Scatter_Compton000  s(C_K)  s(N_K)  s(O_K)  s(Na_K)  s(Mg_K)  s(Fe_L)  s(Cu_L)  s(Scatter_Peak000)  s(Scatter_Compton000)  chisq
0  0  2179.41  54.8211  967.502  13881  735.105  93.8051  510.928  217082  196.475  47.011  10.1577  31.5688  122.192  38.6807  11.8399  36.3011  3320.16  3261.17  2.6069
0  1  1693.77  57.5751  783.643  12299.6  621.08  81.1718  498.632  200001  163.002  41.4107  9.4051  28.2448  115.42  36.9385  10.807  35.7737  3160.77  3109.25  1.84791
0  2  2086.25  58.0779  702.874  11256.6  690.365  74.7738  333.457  233604  30414.6  45.8816  9.90737  26.71  110.396  37.862  11.4185  32.1205  3201.5  3148.91  24.4906
0  3  2326.6  72.5863  1131.04  16123.2  830.004  75.9063  505.706  254039  39297.1  48.4799  10.9998  34.2406  131.485  39.8422  12.2896  37.8927  3293.61  3235.07  37.938
0  4  2182.71  97.8782  1463.94  17493.2  1046.91  118.212  674.048  220564  190.718  47.1995  12.64  38.8894  136.419  41.7397  14.3776  40.3678  3354.37  3296.23  2.56677
0  5  1436.45  86.7047  1341.67  16187  785.608  84.3382  550.673  198834  188.819  38.3312  11.2415  37.2544  131.583  39.422  12.3728  38.245  3167.85  3110.54  2.58366
0  6  1806.83  50.0779  523.293  7201.72  351.068  83.2314  359.624  210660  162.74  42.7487  9.29821  23.1641  89.8554  32.3178  11.0302  31.7527  3290.95  3236.12  2.29832
0  7  1803.36  29.4233  617.552  7149.41  439.216  43.724  295.644  200122  163.654  42.9485  8.97098  25.6012  88.8641  31.9164  10.1034  29.1793  3186.6  3132.56  2.33004
0  8  2614.71  46.4481  512.689  7612.7  538.072  63.9195  413.685  224553  179.844  51.406  9.59186  23.2124  91.8807  35.0855  10.7056  32.0134  3383.75  3329.34  2.4045
0  9  1998.82  48.2931  537.716  11437.9  592.875  70.4544  516.031  211831  175.816  45.0746  9.66776  24.0666  110.895  35.0327  11.7697  35.1615  3268.49  3214.17  2.33477
0  10  2256.73  50.9613  831.296  13628.9  767.791  73.8258  555.288  257601  34331.9  47.7776  9.6163  29.2252  121.152  39.5347  10.5712  36.9428  3383.85  3328.06  28.0631
0  11  1713.96  79.7359  917.758  13498  570.386  111.23  407.26  214728  193.343  41.6841  10.4353  30.4535  120.7  37.3599  12.7026  34.9125  3266.62  3211.03  2.46248
