row  column  C_K  N_K  O_K  Na_K  Mg_K  Fe_L  Cu_L  Scatter_Peak000  Scatter_Compton000  s(C_K)  s(N_K)  s(O_K)  s(Na_K)  s(Mg_K)  s(Fe_L)  s(Cu_L)  s(Scatter_Peak000)  s(Scatter_Compton000)  chisq
0  0  2679.07  114.754  1574.97  16430  1400.5  61.1868  521.046  213185  184.192  52.1679  13.3358  40.8122  132.923  48.608  13.6426  38.5601  3203.77  3157.66  1.75763
0  1  2863.13  118.809  1458.05  16068.2  1360.22  76.4371  550.277  210996  16.4639  53.9268  13.3941  39.0571  131.491  48.6299  13.6856  37.7969  3189.59  3152.99  1.76923
0  2  2340.86  70.6273  590.552  8182.77  891.603  76.3036  499.162  218557  16.0379  48.5773  10.0298  24.8081  95.1884  42.379  11.1786  32.7553  3256.59  3219.6  1.6229
0  3  1480.38  88.8721  492.902  3660.54  469.232  62.3253  302.574  173203  13089.6  38.6726  10.3799  22.3858  64.5169  31.7073  9.85568  25.6877  3016.1  2985  1.53761
0  4  1655.67  42.0564  89.4494  522.498  197.928  54.9479  170.725  196893  50.1869  41.0792  8.60536  9.90245  29.2138  27.166  9.36898  19.6254  3092.96  3057.22  1.50599
0  5  1400.56  42.714  62.4689  375.331  323.792  57.8542  231.52  169720  12377.8  37.6208  8.48451  9.23676  24.1971  26.4128  9.42741  19.8085  2970.2  2941.91  1.61504
0  6  1694.65  44.3268  57.9735  448.099  296.169  60.9999  213.541  186799  648.023  41.3335  8.6439  8.91637  24.3271  23.8381  9.46226  18.1174  3008.1  2975.18  2.03474
0  7  1922.03  46.0955  65.8199  354.971  301.499  62.4897  177.825  194809  1198.85  43.9877  8.90033  9.42078  24.5436  26.2256  9.60862  18.6542  3089.36  3056.06  1.75739
0  8  1271.94  30.4151  45.3003  249.209  275.885  47.4408  201.317  134971  13636.7  35.8359  8.44631  8.45027  20.2651  23.1724  9.11156  17.9475  2669.12  2645.38  1.49665
0  9  2189.76  45.6502  59.5266  277.848  300.895  71.9499  225.708  183833  74.3572  47.1438  8.80397  8.77567  22.904  25.808  10.0011  19.6132  2995.22  2962.96  1.87181
0  10  2404.52  44.6457  60.507  225.63  260.488  59.77  207.853  167008  8031.58  49.2532  8.62469  8.95862  20.5272  24.4662  9.52028  19.0418  2901.58  2872.84  1.7712
0  11  2900.63  39.8831  54.0907  231.703  263.439  61.2749  162.199  191175  29.0015  54.0377  8.79245  8.86498  21.6557  25.7216  9.38411  18.3732  3033.39  2999.59  1.78962
0  12  2655.75  42.5469  55.0264  293.009  257.012  67.3714  229.298  169214  6036.06  51.699  8.70406  8.42678  21.0197  24.5618  9.8389  18.7531  2905.5  2875.64  1.54931
0  13  2708.17  52.4454  52.6813  251.947  237.382  46.4231  184.715  175456  8651.74  52.3838  9.24652  8.7926  22.357  24.518  9.57497  19.2059  2976.02  2946.34  1.60568
0  14  1521.23  25.4586  45.0835  281.683  227.946  41.2324  136.711  100598  23676.7  39.3068  8.34437  8.45518  19.6119  19.7875  9.2115  14.9035  2444.33  2427.72  1.47207
0  15  3008.4  44.5553  49.8713  283.515  161.817  53.4793  218.193  174164  2282.5  55.1764  8.72657  8.70824  21.3557  24.6121  9.33241  18.5721  2918.38  2886.92  1.64748
0  16  3021.66  43.2297  63.8107  257.914  253.115  55.2868  169.369  168691  2921.3  55.156  8.79498  9.09919  20.9912  25.3892  9.1113  17.0192  2883.4  2852.88  1.47725
0  17  3258.12  44.8794  62.4415  230.34  173.376  53.9175  198.204  176272  8270.24  57.2062  8.81708  8.87068  21.5123  24.7909  9.47042  19.2388  2986.79  2956.75  1.74136
0  18  1509.23  25.8365  59.5701  287.59  220.283  30.3973  118.182  86643.1  26000.2  39.0688  8.17798  8.88521  19.6659  19.5713  9.01501  13.3318  2313.91  2300.19  1.49548
0  19  3258.07  64.6451  67.1888  295.019  333.844  59.7505  255.455  185618  13.1087  57.2024  9.81664  9.34617  22.0579  26.8278  9.72088  19.9407  2998.46  2964.37  1.73538
0  20  1902.85  48.0392  230.871  899.065  204.533  43.2319  183.516  100543  28423.7  43.7541  8.9064  15.5664  33.4398  21.4794  9.05412  18.1899  2478.7  2463.16  1.33545
0  21  2497.48  427.91  4427.42  16864.3  1457.95  93.4832  471.949  158289  27.5067  50.6816  22.8346  67.2084  133.688  46.5651  12.816  35.5241  2723.03  2680.81  1.7549
0  22  1871.39  444.219  3709.7  24249  3156.23  73.8085  683.719  169892  1.01107  43.8207  23.0129  61.6215  159.332  62.7269  12.2589  39.7108  2816.93  2779.64  1.53142
0  23  1617.32  335.704  3439.79  22727.5  3657.06  81.4251  701.827  167734  1369.67  40.6793  19.9472  59.2673  154.59  66.8049  12.75  40.6674  2792.67  2756.75  1.69412
0  24  1164.08  401.561  3383.3  21346.3  4237.15  102.082  643.5  164601  169.638  34.6012  21.5333  58.576  149.45  69.7617  12.4285  38.1959  2784.09  2750  1.73448
0  25  1110.23  340.795  3571.36  20825.2  4471.9  84.1701  634.412  162914  89.7326  33.8169  19.8272  60.1159  147.437  71.0906  10.9947  37.1309  2758.02  2721.87  1.6374
0  26  1013.64  394.9  3307.21  22705.6  3384.21  73.7803  686.833  157995  56.7831  32.4605  21.4325  58.0755  154.128  62.9976  11.4697  39.584  2731.31  2696.88  1.57487
0  27  1021.75  325.033  3318.33  22689  2879.95  103.453  703.804  155268  143.57  32.4648  19.5274  58.1247  153.891  58.5996  13.1131  39.3792  2698.28  2665.51  1.50808
0  28  920.398  316.034  3180.56  23450.9  2246.97  55.2122  631.893  156793  67.422  30.9521  19.5507  57.1748  156.542  53.5562  12.7221  39.327  2725.82  2691.4  1.42251
0  29  1007.5  319.885  3165.39  25263.9  2339.29  110.855  765.777  155416  71.645  32.362  19.6183  56.8822  162.255  53.6215  13.2339  41.0415  2707.33  2672.73  1.60069
0  30  1457.66  120.575  1720.06  16089.4  1852.58  74.2093  456.146  161033  295.57  38.4436  12.5065  41.8516  129.885  49.0304  10.5837  32.3427  2753.89  2721.25  1.45997
0  31  1092.01  196.899  2474.02  22680.9  2911.72  89.7891  670.895  156060  4.53755  33.427  15.4104  50.1727  153.837  58.7414  11.6065  38.7095  2712.51  2678.61  1.73331
0  32  1381.34  85.1409  1926.14  22702.9  2372.04  86.9291  614.508  167124  45.7448  37.6075  11.7421  44.6115  154.116  55.236  12.7408  37.712  2826.53  2791.87  1.59498
0  33  1501.26  42.1268  1087.32  19034.3  1929.97  51.1223  530.561  166640  6657.06  39.0796  9.47139  33.5684  141.636  51.471  10.195  36.3529  2872.28  2843.45  1.59129
0  34  1488.92  22.5135  126.148  1091.51  227.767  55.7872  158.171  142501  26426.1  38.8185  8.32728  11.8375  37.1958  24.065  9.40628  18.8447  2862.67  2840.79  1.3571
0  35  516.556  22.9794  59.6415  428.714  168.136  55.9512  111.761  41757.4  56285.8  23.0893  8.11632  8.87171  22.9562  16.842  9.45469  13.7452  2172.24  2175.03  1.09596
0  36  1551.12  27.5607  57.7187  337.472  213.993  47.3411  156.989  124279  16312.3  39.5452  8.20728  9.07015  21.7637  21.3109  9.27954  16.1333  2578.42  2556.56  1.39278
0  37  974.923  26.1943  46.5161  277.324  146.288  27.3725  107.523  62006.7  30628.6  31.4358  7.91094  8.65128  19.1291  15.8257  8.89051  12.8757  2051.96  2043.82  1.14004
0  38  3296.38  75.3058  726.108  4505.54  537.69  51.0981  275.108  159323  0.652556  57.5491  10.1455  27.0272  70.2435  31.0957  9.34026  24.1407  2701.96  2664.95  1.49954
0  39  2410.71  88.3413  1207.68  18771  1647.27  71.3694  650.97  157500  1268.54  49.2712  10.6087  34.9123  140.407  46.823  11.6382  37.9157  2713.98  2684.42  1.60887
0  40  1797.63  61.0561  1028.96  17934.4  1661.73  58.1635  502.082  151218  859.99  42.6758  10.1661  32.7177  136.884  45.938  10.5225  34.0953  2654.74  2625.15  1.59023
0  41  1378.91  109.284  1558.91  18608.6  1605.75  51.0351  545.369  132008  8399.5  37.4132  11.8126  39.8357  139.409  45.6597  10.7769  35.2354  2555.27  2530.53  1.43918
0  42  1435.15  105.147  1740.38  18564.2  1788.22  78.3192  515.722  132211  5673.96  38.1892  12.0262  42.2298  138.985  47.0676  11.4301  33.6288  2526.03  2500.34  1.38602
0  43  1252.59  237.577  2614.33  20745.6  1888.94  78.7655  739.991  136147  2.14124  35.9354  16.8966  51.4737  146.871  47.6043  11.0411  38.2133  2516.77  2488.83  1.44831
0  44  1290.87  302.287  3205.99  22311.4  2767.76  83.6399  592.39  135837  4608.43  36.3945  19.0486  57.1652  152.494  57.7768  11.9281  37.0854  2562.72  2536.26  1.36169
0  45  1236.61  283.055  3190.3  23369.4  2737.11  63.2009  690.326  145505  14.1823  35.661  18.398  56.8813  155.928  56.7881  11.4591  38.8421  2617.15  2586.56  1.42101
0  46  1125.93  282.056  3123.22  23830.6  3702.85  52.3701  466.278  145961  4570.75  34.1523  18.7692  56.5283  157.497  65.7957  11.2857  35.8435  2671.49  2644.27  1.4717
