row  column  C_K  N_K  O_K  Na_K  Mg_K  Fe_L  Cu_L  Scatter_Peak000  Scatter_Compton000  s(C_K)  s(N_K)  s(O_K)  s(Na_K)  s(Mg_K)  s(Fe_L)  s(Cu_L)  s(Scatter_Peak000)  s(Scatter_Compton000)  chisq
0  0  1890.2  89.0016  1451.2  14123.7  1512.43  85.1442  516.179  226096  98.6458  43.7015  11.0038  38.4602  124.291  51.964  12.4561  38.873  3323.19  3280.88  1.91852
0  1  1927.5  89.6365  1342.41  14268.9  1378.84  70.3428  406.344  222417  191.081  44.535  12.1719  37.6042  125.091  51.528  13.0725  37.4073  3303.17  3263.58  1.62493
0  2  1556.73  165.452  1755.25  15757.6  1757.24  91.3045  607.305  231281  10585.5  39.8958  14.7107  42.6766  130.799  52.6212  13.5215  40.8588  3286.99  3245.89  4.52984
0  3  1514.86  166.764  1726.83  14768.2  1688.64  58.301  468.204  216257  1272.37  39.374  15.0719  42.4309  126.945  53.0803  11.9871  38.0831  3251.64  3213  1.96384
0  4  1797.77  112.553  1666.76  14611.3  1723.91  66.9154  502.467  220746  697.583  42.7852  12.5302  41.3973  126.094  52.8419  12.0014  37.9766  3296.66  3259.58  1.99083
0  5  1551.69  149.384  1821.83  14180.2  1620.82  91.3555  534.498  215262  1.8003  39.8143  14.3325  43.3619  124.189  52.072  13.3418  38.62  3248.95  3209.71  1.73265
0  6  1578.89  162.841  1777.91  15448.2  1744.32  105.503  580.547  220328  259.409  40.4867  15.0749  42.9585  129.429  53.5192  13.5291  39.4367  3295.09  3256.1  1.79278
0  7  1382.86  128.959  1790.42  15342.7  1773.31  82.1499  557.497  213747  291.104  37.6209  13.3877  43.2332  128.361  52.2044  13.1708  37.3221  3231.35  3192.24  1.9619
0  8  1681.95  179.049  1853.06  15263.6  1667.34  105.631  520.39  218089  5.68016  41.4089  15.0708  43.6278  128.926  53.2962  12.914  38.5364  3261.98  3223.96  2.03285
0  9  1248.51  149.277  1525.81  15084.6  1645.58  69.4017  566.927  211715  42.9752  35.8164  14.27  40.095  128.175  52.6233  12.4316  39.5627  3217.74  3178.87  1.7922
0  10  1818.98  112.387  1776.98  15083  1623.88  100.828  577.95  217201  176.892  43.0389  12.8452  42.8248  128.004  52.2635  12.9945  38.9636  3266.29  3230.25  1.84614
0  11  1169.48  130.885  1544.29  14181.1  1479.59  76.2462  545.45  209789  59.6942  34.6711  13.5718  40.3443  123.986  49.5807  13.1514  37.5835  3188.92  3149.47  1.73635
0  12  1756.65  89.5002  1692.35  14475.7  1493.97  75.2294  506.223  215859  521.684  42.4537  12.4371  42.1133  125.886  52.4076  13.2078  38.1043  3258.48  3221.87  1.87599
0  13  1743.39  139.878  1825.35  15561.9  1565.13  63.7623  541.144  214344  144.384  42.1124  13.7926  43.3033  130.17  52.6619  12.0826  38.7286  3249.56  3211.73  1.51192
0  14  1765.22  135.243  1945.65  15986.5  1588.95  98.494  564.016  219257  201.085  42.3712  13.4775  44.6946  131.694  51.9629  13.4586  39.6475  3286.12  3249.98  1.91969
0  15  1723.43  151.453  1897.97  16105.1  1629.31  108.537  618.316  217416  205.495  41.9274  14.1135  44.1493  132.472  53.0823  14.7457  41.3033  3269.24  3230.36  1.7796
0  16  1808.03  127.548  2091.42  15429.9  1642.11  102.41  521.787  220745  489.99  43.0205  13.7549  46.6521  129.639  53.1723  13.6987  38.5662  3294.44  3256.78  1.87299
0  17  1845.97  125.231  1584.43  13060.2  1644.11  59.3654  542.311  231694  9059.02  43.3895  13.4137  40.6509  119.804  52.5481  12.5071  38.89  3304.22  3263.65  3.56044
0  18  1696.37  147.528  1823.05  15200.7  1708.49  73.9817  542.844  219764  59.8224  41.7639  14.1449  43.4374  128.564  53.3625  13.3239  38.8263  3280.57  3242.04  1.8838
0  19  1467.25  106.678  1705.99  15788.2  1723.61  76.2634  509.639  218343  23.619  38.7068  12.4296  42.0981  130.941  53.2076  12.8083  38.9806  3271  3233.73  1.78073
0  20  1818.28  121.173  1499.84  14707.3  1736.3  71.4947  505.989  220240  274.014  43.0084  12.4574  39.1379  126.055  52.0181  12.4193  37.8591  3280.42  3243.38  1.93521
0  21  1540.38  90.0017  1484.08  15360.8  1798.74  102.689  576.042  222242  74.3656  39.9403  11.9858  39.3104  128.7  53.3657  12.9031  37.6816  3297.35  3259.4  1.97705
0  22  1872.3  95.0072  1742.91  15905.9  1814.06  70.8544  454.815  224814  88.1714  43.7758  12.5169  42.8507  131.206  54.0696  13.3221  37.6125  3312.96  3275.8  1.83153
0  23  1739.06  96.2554  1479.77  15836.7  1710.72  89.7091  623.397  225598  24.0834  42.0886  12.2703  39.377  131.164  54.3895  13.1013  39.9943  3311.56  3271.57  1.7269
0  24  1631.11  99.9438  1679.46  16108.7  1801.31  98.511  545.508  221699  327.408  40.8348  12.2097  41.5914  132.16  54.2743  12.5375  39.0448  3311.22  3276  1.9055
0  25  1638.04  84.7372  1521.1  16233.1  1754.21  70.1031  514.828  225873  73.6814  40.8771  11.8797  40.0293  133.099  54.5779  13.255  40.4198  3328.8  3288.49  1.79809
0  26  1529.55  145.174  2020.43  16508.6  1790.95  81.0037  670.845  222287  50.2858  39.5223  14.1254  45.8617  133.463  54.2253  13.1301  40.6107  3298.73  3260.74  1.73397
0  27  1589.03  145.674  1608.1  13026.3  1366.49  86.1725  674.012  225323  595.636  40.2697  13.6953  40.3132  119.582  49.0816  12.0933  39.8487  3342.87  3306.67  1.94675
0  28  1849.17  102.358  1324.67  10188.2  1212.75  59.4087  479.508  221846  15.4062  43.429  12.6412  37.4977  105.577  45.9642  12.8446  34.9326  3303.17  3264.5  1.70492
0  29  1741.25  102.375  1348.04  10576.4  1014.56  104.061  418.1  220467  624.71  42.0253  11.5891  37.1464  108.315  45.6573  12.6626  35.0427  3304.84  3267.44  1.8015
0  30  1957.58  87.5817  1400.51  11633.9  1273.6  60.4161  510.27  220475  1531.13  44.6856  11.7488  38.1114  113.322  48.4613  11.3846  37.2317  3297.03  3262.25  1.74842
0  31  1927.59  90.6787  1212.7  11733.2  1299.75  70.4397  532.189  228867  33.1274  44.2891  11.4635  35.5228  113.059  48.1085  12.2385  36.2276  3353.27  3313.75  1.83279
0  32  2117.23  108.141  1682.94  13733.7  1556.72  90.2637  540.404  227207  89.8502  46.391  12.4616  41.5914  122.425  51.2225  12.6422  37.7177  3317.04  3279.75  1.98645
0  33  1806.58  111.873  1509.17  14566.8  1691.06  93.2532  599.148  225009  220.335  42.8561  12.446  39.5535  125.671  52.3352  12.9519  38.6651  3320.75  3282.27  1.88263
0  34  2006.91  153.375  1813.56  14434.7  1612.34  106.447  501.488  227412  120.71  45.2171  14.408  43.0911  125.882  53.1248  12.8334  39.1158  3350.44  3312.44  1.83216
0  35  1647.19  98.1919  1406.62  13563.7  1707.93  75.1287  498.331  226148  1078.69  40.9524  11.9531  38.1173  121.509  51.6901  12.8705  37.4915  3315.55  3279.94  2.18312
0  36  1936.96  102.561  1719.66  14591.9  1740.83  48.2299  613.327  228845  187.031  44.4609  12.6676  42.4408  126.223  53.6098  12.4576  40.5698  3349.31  3309.69  1.78823
0  37  1578.99  112.085  1377.24  14147.1  1518.09  89.61  558.253  229473  248.538  40.155  12.3271  37.6267  124.479  51.5839  11.6043  39.0472  3356.42  3316  1.83806
0  38  1969.29  114.455  1653.81  14537.6  1523.16  85.6932  532.481  231606  645.873  44.7416  12.3563  41.0469  126.296  52.8915  13.0522  39.0036  3368.56  3332.15  1.99398
0  39  1637.85  96.5148  1483.31  14517.3  1598.01  65.3986  470.868  229657  831.932  40.856  11.8804  39.2896  125.894  52.8959  13.1799  38.274  3355.87  3317.39  1.86914
0  40  2038.76  80.7779  1625.37  15027.8  1654.25  87.5869  577.307  228580  5999.03  45.5466  11.5953  41.1358  127.62  53.1396  12.7575  38.5946  3396.01  3360.78  1.88649
0  41  1644.43  76.2921  1500.21  15083.4  1563.08  85.1049  527.726  232957  747.374  40.8661  10.9999  39.5714  128.541  53.056  13.0914  39.4369  3395.68  3357.49  1.89935
0  42  2072.24  93.6186  1677.6  14253.1  1554.62  94.6376  573.994  229563  4489.13  45.896  12.1816  41.6103  124.903  51.7888  13.2077  39.2293  3386.03  3351.35  1.926
0  43  1906.29  109.275  1492.67  13365.2  1408.73  104.626  411.366  235837  12.6947  44.0451  12.4161  39.1527  121.285  51.1215  13.3243  37.0205  3413.6  3376.35  1.89486
0  44  1789.69  147.225  1713.81  13923.4  1589.35  102.63  481.754  233169  6.54073  42.6324  13.7718  41.8815  123.315  51.5038  12.5938  37.7964  3372.57  3331.64  1.98499
0  45  1708.4  152.177  1449.61  15454.4  1685.97  81.0101  559.045  225645  160.518  41.6049  13.7634  38.4583  129.079  52.1126  11.9915  38.4075  3318.07  3279.31  1.74011
0  46  1888.64  93.5555  1891.07  15708.6  1716.29  80.5447  574.233  227336  1195.02  44.0572  12.3018  44.293  130.749  54.454  13.9317  39.6247  3343.08  3305.59  1.87864
0  47  1592.08  117.75  1500.48  15321.8  1690.46  57.294  409.168  223921  949.268  40.406  13.1942  39.7325  128.937  52.9299  12.5603  37.0508  3299.79  3264.1  1.98493
0  48  1739.56  119.47  1505.97  13950.2  1597.32  84.5354  535.562  225808  257.884  42.0819  12.7085  39.4201  123.745  52.8603  11.9193  38.5618  3329.24  3293.06  1.87043
0  49  1726.26  108.799  1485.2  15376.1  1690.19  82.5752  547.145  226416  829.171  41.8434  12.0602  38.9296  129.452  54.054  12.4353  38.9006  3333.84  3297.38  1.9572
0  50  1900.08  103.872  1529.01  15550  1724.73  76.6154  509.568  234171  979.66  44.0313  12.4107  39.7385  129.859  53.2649  11.9612  38.2118  3376.56  3339.96  1.88427
0  51  1576.1  92.5747  1159.25  14189.6  1604.2  74.0554  496.578  232381  1123.6  40.0604  11.433  34.707  124.566  52.2967  12.1158  38.4624  3383.35  3347.58  1.86719
0  52  1496.43  92.5379  1407.19  15004.5  1714.49  101.196  556.753  231786  2.13341  39.123  11.699  38.3936  127.237  52.3711  14.0479  38.1054  3377.1  3337.74  1.81292
0  53  1640.62  89.1359  1296.67  15035.7  1516.84  79.4741  525.236  234131  259.188  40.9337  11.6971  36.8369  128.404  52.6716  12.7655  39.4323  3390.4  3351.48  1.84756
0  54  1647.23  109.154  1509.74  16018.6  1601.07  93.3519  432.253  235818  1720.33  41.2013  12.5689  39.553  132.267  53.7523  13.8561  38.6591  3414.63  3378.68  1.87469
0  55  1724.5  98.0496  1500.35  16207.1  1728.49  94.2669  584.207  239634  22.0064  41.8949  11.6599  39.1479  133.085  55.4173  11.9446  40.7035  3429.24  3392.62  1.77033
0  56  1531.53  77.7957  1096.71  14376.6  1665.88  80.5733  496.765  236425  153.77  39.8191  11.696  34.3635  125.471  52.7646  14.0556  39.4137  3409.32  3369.57  1.84336
0  57  1639.59  90.6638  1464.48  16124.2  1674.13  96.4226  662.018  238066  28.8452  40.7692  11.106  38.4979  132.254  53.4894  13.565  41.3422  3432.52  3393.33  1.69721
0  58  1715.68  67.3751  1228.17  15761  1791.31  97.084  554.109  239406  348.886  41.827  11.0584  36.1422  131.032  54.8406  13.6236  39.3807  3440.25  3403.85  1.80667
0  59  1577.22  89.3064  1286.64  15727.8  1545.18  97.1983  649.515  237187  1190.98  39.9997  11.3774  36.4742  131.11  53.5953  12.3307  40.7826  3432.77  3396.42  1.88883
0  60  1613.37  93.0915  1316.91  15433.7  1669.43  105.006  572.565  239081  267.216  40.4724  11.2914  36.6925  129.543  53.7421  12.5667  39.575  3440.38  3402.16  1.93945
0  61  1544.46  76.3065  1293.23  16085.1  1879.56  125.451  565.316  236389  90.5262  39.7301  11.1956  36.6768  132.188  55.9933  13.5272  39.6142  3404.14  3365.96  1.97482
