row  column  C_K  N_K  O_K  Na_K  Mg_K  Fe_L  Cu_L  Scatter_Peak000  Scatter_Compton000  s(C_K)  s(N_K)  s(O_K)  s(Na_K)  s(Mg_K)  s(Fe_L)  s(Cu_L)  s(Scatter_Peak000)  s(Scatter_Compton000)  chisq
0  0  2067.5  39.999  109.904  191.432  239.279  55.4038  232.991  241072  865.644  45.6351  8.54042  11.0648  24.0489  29.0122  9.81122  22.6674  3447.62  3410.89  2.00869
0  1  1990.63  38.6028  88.3081  246.471  220.492  55.8079  233.348  198782  27713.2  44.8335  8.68133  9.97082  22.5563  25.8859  9.92641  21.138  3326.17  3298.33  1.6386
0  2  1137.81  28.8467  60.5434  311.002  347.512  68.3171  215.709  151448  36848.6  33.9142  8.36078  9.09063  21.5539  25.0573  9.94376  18.3142  3009.14  2988.66  1.69188
0  3  2446.43  55.4523  75.3299  308.724  310.94  56.9809  201.491  215986  15498.7  49.6221  9.23728  9.4601  23.5317  26.7105  9.60656  19.9049  3344.87  3313.45  2.00563
0  4  2231.41  22.8968  71.607  262.438  224.305  59.064  200.676  200061  15684.5  47.4097  8.31499  9.27089  23.3464  25.4681  9.94528  20.3666  3217.4  3187.76  1.71964
0  5  2600.75  39.4924  66.6047  328.556  200.4  68.1075  238.558  190105  12120.4  51.2811  8.60161  9.08882  22.5306  24.1808  9.80525  19.0543  3093.07  3062.49  1.82692
0  6  1513.04  29.7781  65.9727  433.608  222.57  38.1821  156.184  155806  6.79229  38.9977  7.95193  8.9146  23.1245  17.6818  8.96705  15.3454  2648.11  2612.96  1.87122
0  7  6419.67  145.536  1153.78  5327.34  247.431  71.1969  213.643  258702  269.595  80.4872  14.2032  34.3016  76.9884  32.3824  10.6864  25.5545  3508.93  3454.87  2.05934
0  8  3947.88  100.44  1725.91  24530.9  1199.58  81.954  680.601  265701  264.47  63.5992  13.7207  42.9683  161.351  48.5282  14.3793  42.6618  3568.05  3514.22  2.29034
0  9  3566.87  170.162  1951.76  24064  1178.65  72.2651  725.935  261597  229.45  60.1628  15.5834  44.922  159.539  47.0566  12.6776  42.3914  3544.51  3491.82  2.03142
0  10  2222.19  272.167  2895.89  22945.6  1246.04  80.3055  727.638  242294  240.315  47.8697  18.8556  54.5354  155.891  46.4917  12.3129  41.9774  3428.2  3377.23  2.28148
0  11  2127.11  274.709  3354.73  22334.8  1448.06  80.164  620.659  230253  161.626  46.6277  18.67  58.5736  154.11  49.4676  12.524  41.3434  3350.08  3303.75  1.8737
0  12  1925.27  336.839  3723.65  23408.5  1526.88  106.037  650.379  235310  234.999  44.4763  20.5889  61.5552  157.275  49.1843  12.9808  40.9757  3375.77  3324.73  2.17639
0  13  1954.82  305.346  3446.65  23327.5  1398.74  97.29  716.045  229870  209.506  44.8344  19.7862  59.3432  156.737  46.2906  13.0935  41.7217  3337.96  3288.63  2.20843
0  14  1715.58  325.247  3317.01  23663  1442.08  70.1802  701.331  251185  17606.9  42.1171  20.43  58.3259  158.083  47.6192  12.4377  42.1659  3384.72  3338.73  8.37287
0  15  1719.06  249.364  3252.66  22865.7  1278.84  75.2208  642.842  232201  155.746  41.9363  17.563  57.4532  155.787  46.9607  12.0844  41.8195  3369.17  3323  1.90498
0  16  1562  208.516  2615.08  20927.7  1234.63  87.4091  595.177  228766  118.501  40.0476  16.5674  51.6346  149.121  46.1159  12.2632  40.3325  3349.43  3306.16  1.76741
0  17  1771.72  177.056  2213.54  20035.6  1143.44  100.515  634.107  227992  133.856  42.8173  15.5093  47.6114  145.563  43.7589  12.6491  39.1051  3330.67  3286.68  1.87978
0  18  1761.1  247.595  2667.28  20901.4  1243.1  86.0907  586.493  245349  14588.4  42.7138  17.9942  52.2562  148.85  45.4171  12.6639  39.7814  3353.25  3309.1  6.32177
0  19  1955.54  214.244  2869.27  21117.5  1261.92  90.0422  737.418  234550  168.562  44.6928  16.682  54.1167  149.885  46.8285  12.9517  42.232  3383.19  3336.49  1.89029
0  20  1888.59  248.811  2562.42  22519.3  1219.72  70.1963  627.759  244779  231.031  44.0113  18.0686  51.2701  154.778  46.3848  12.1837  42.238  3462.46  3411.93  1.99005
0  21  1934.2  198.467  2336.5  23311.4  1231.67  79.131  672.022  260599  21560.4  44.6066  16.8006  49.2831  157.141  46.6953  13.211  41.4048  3440.49  3391.54  11.4768
0  22  2053.87  255.644  2836.05  26177.9  1127.41  78.8729  650.34  248634  221.554  45.8878  18.5546  54.1438  166.597  47.0983  14.7564  43.9626  3490.3  3439.52  2.05491
0  23  2528.34  223.208  2917.58  16727.9  779.191  90.8914  581.293  270156  177.179  50.8646  17.6207  54.6917  134.106  41.7113  12.359  39.3159  3655.49  3605.7  2.15773
0  24  1069.79  85.3992  856.094  3637.14  250.825  55.3013  277.548  152006  42534.8  33.1187  10.9943  29.4564  63.6569  25.7139  9.57764  24.2316  3088.43  3069.33  1.52555
0  25  3662.28  45.4936  121.53  659.58  237.246  70.911  261.506  296877  122.002  60.7214  9.3405  11.4642  33.2423  30.1019  10.1056  23.3075  3848.8  3799.96  2.08066
0  26  2730.23  47.6426  78.1629  484.187  313.936  76.1876  252.59  289107  14.9388  52.4628  9.25842  9.67263  27.7316  29.29  10.287  21.8337  3798.33  3753.03  2.20481
0  27  4387.04  48.2989  85.0523  236.533  219.508  64.3322  222.445  320984  315.459  66.5332  10.2241  10.7611  24.7744  29.6194  11.2056  22.5805  4014.31  3965.7  2.24391
0  28  2499.57  32.628  85.5269  233.052  231.339  63.4612  303.756  288131  1504.27  50.2022  8.71332  9.90722  23.3266  29.1579  10.3658  23.4613  3786.68  3740.65  2.09304
0  29  2530.39  47.4681  94.3769  243.503  296.041  84.5988  279.987  277349  900.362  50.5428  9.11723  10.2995  22.7691  29.3277  10.3471  22.1632  3759.11  3719.19  2.05878
0  30  1283.87  42.8537  94.9555  197.432  206.495  63.457  210.889  221339  3665.87  36.0432  8.77241  10.3266  21.3623  25.8354  9.77897  20.1366  3352.63  3317.8  1.50656
0  31  1477.32  33.6043  60.7573  171.909  239.322  75.7912  171.611  214502  6958.28  38.6471  8.49743  9.01725  20.1173  26.2845  10.2787  18.7298  3322.38  3289.09  1.71337
0  32  627.348  34.5272  38.9806  109.794  154.89  56.8  134.437  138560  653.962  25.2428  8.26219  8.3373  14.5906  19.8491  9.52499  14.3551  2608.05  2579.33  1.2536
0  33  2240.01  33.2656  57.618  147.412  211.179  56.3661  168.024  165156  12980.7  47.4889  8.5638  8.42892  17.1755  21.5882  9.52828  17.0083  2931.34  2903.6  1.51177
0  34  3067.51  49.9228  55.7513  180.629  252.749  56.8881  180.789  176654  20145.4  55.53  9.17579  8.57873  18.8344  23.0889  9.51048  17.8901  3054.95  3028.01  1.74048
0  35  4712.03  55.7427  71.3652  184.062  233.316  58.9852  167.123  201770  8620.09  68.7559  9.32926  9.34876  19.878  23.0711  9.50737  18.1206  3155.88  3123.31  1.82238
0  36  5439.77  54.9042  67.2226  152.403  260.109  62.7077  272.16  234264  7229.67  74.0427  9.60653  9.27057  19.6583  25.46  9.59166  21.0522  3400.13  3364.27  2.03478
0  37  5405.73  46.8011  69.9527  211.275  324.432  65.633  230.808  236641  7007.53  73.9619  9.04992  9.35788  21.5867  28.2389  9.99935  20.6256  3409.36  3374.04  2.10441
0  38  5864.69  66.4112  76.7664  247.15  281.897  70.2545  300.518  266887  1384.93  76.9367  10.2241  9.76669  22.4523  29.0864  10.5086  22.8157  3604.78  3563.07  2.31224
0  39  5429.51  41.5034  68.1798  192.092  298.933  56.1261  198.673  262541  128.169  74.0026  9.70908  9.84728  22.2963  27.8123  10.0112  20.8463  3569.55  3526.82  2.22989
0  40  5147.76  65.1337  53.4771  218.79  247.003  66.4372  218.739  256141  2516.53  71.9774  10.0942  8.88577  22.3403  27.877  10.2481  20.8557  3535.11  3494.19  2.07232
0  41  5023.96  77.9581  95.4927  265.007  195.073  60.9411  249.999  251783  154.104  71.0319  10.2602  10.3961  22.8351  26.9509  9.92451  21.1004  3466.95  3419.14  2.25869
0  42  5151.24  104.602  92.2316  859.947  271.105  61.7218  271.409  271170  261.015  71.9279  11.4082  9.98278  34.0799  28.7011  10.5847  22.787  3594.86  3539.9  2.36528
0  43  4957.36  79.5344  234.338  3869.93  297.45  65.0517  282.999  261060  232.544  70.7179  10.5012  15.6035  65.8321  30.7231  9.85483  24.8458  3519.43  3466.96  2.50372
0  44  3952.68  108.255  1456.83  22121.3  1145.28  71.9286  662.731  280910  277.861  63.2808  12.9364  38.9753  153.626  47.9964  12.3742  42.2531  3676.57  3621.68  2.42646
0  45  2879.9  117.427  1107.1  16936.4  939.065  80.9233  659.552  252250  189.8  53.9373  12.9122  33.9575  134.383  43.0592  12.5318  39.3599  3475.03  3426.08  1.86284
0  46  2557.61  116.932  1965.17  19130.3  958.806  52.6684  501.317  241338  176.16  51.1697  13.8153  45.2833  142.679  43.3601  11.9791  37.7993  3413.34  3365.43  2.02078
0  47  2246.83  249.671  2594.84  20412.6  1363.61  72.4694  595.193  234388  219.963  47.8974  17.6678  51.5054  147.114  47.0177  13.0182  39.7221  3355.94  3306.28  2.29476
0  48  2221.72  321.784  2992.83  20875.7  1285.39  142.171  741.501  235039  223.645  47.6475  19.7476  55.1356  149.093  46.5601  13.472  42.177  3366.21  3316.74  2.10077
0  49  2064.54  315.599  3105.09  21349.4  1150.89  61.4706  690.352  236677  232.643  46.0249  20.008  56.5368  150.891  46.1548  13.1878  42.7859  3377.88  3327.84  1.88172
0  50  2307.38  363.965  3427.41  21262.3  1371.05  92.7288  608.668  244872  261.105  48.5735  21.1799  59.0575  150.235  48.0016  13.3523  40.5004  3436.97  3384.63  2.13593
0  51  2271.45  330.134  3204.25  21534.6  1409.55  123.605  653.37  252519  328.727  48.1775  20.1136  57.1124  151.428  49.0109  13.459  41.2275  3494.06  3437.6  2.52225
0  52  2254.65  325.955  3414.97  23920.2  2027.98  122.162  743.002  296846  36706.3  48.1097  20.5246  59.1571  159.39  54.616  14.0333  43.773  3576.43  3518.17  28.0254
0  53  2298.95  323.574  3050.79  23765.8  1514.48  111.111  680.027  268184  339.585  48.5077  19.9779  55.7684  158.824  50.2119  13.4677  42.8181  3593.98  3535.98  2.51986
0  54  2175.93  301.048  3343.25  24587.8  1213.21  80.6113  711.269  305056  34642.9  47.2427  19.8372  58.6054  162.065  48.6432  13.647  45.2084  3646.5  3588.86  23.9489
0  55  2288.19  286.924  3105.74  24848.2  1035.61  76.653  654.665  277698  353.908  48.4624  19.518  56.6359  162.554  47.0286  13.5184  43.4419  3671.96  3612.54  2.34357
0  56  1928.68  254.888  3081.1  23592.7  1252.66  68.9114  740.548  273792  304.905  44.813  18.8866  56.5886  158.427  47.0764  14.2204  44.4519  3654.61  3598.43  2.34158
0  57  2051.66  157.87  2691.69  21664.6  1031.7  83.2244  623.217  271268  248.435  46.1445  15.9935  53.1348  152.118  45.504  14.9665  42.2077  3648.55  3595.5  2.10975
0  58  1737.56  248.486  2648.09  21081.9  1152.09  116.533  715.464  276733  348.962  42.0995  17.5927  51.7535  149.511  45.0576  12.1973  41.1715  3663.71  3604.89  2.70781
0  59  2186.52  209.384  2525.85  20477.2  1035.77  125.776  610.029  281304  336.048  47.1628  16.3606  50.6017  148.139  45.4096  14.2565  41.8401  3701  3642.7  2.60281
0  60  1855.14  270.451  3013.02  22791.7  1149.5  101.838  701.122  282224  316.421  43.7184  18.9851  55.7572  155.808  46.186  14.0098  43.258  3729.13  3669.23  2.78393
0  61  1970.95  280.841  3122.15  23871.4  1327.58  99.0921  724.082  315137  36973.6  45.4286  19.4801  56.56  159.331  48.4013  12.6064  43.8534  3718.49  3659.39  26.6126
0  62  1797.82  378.636  3437.89  24770.7  1315.72  91.3094  697.21  317527  36273.4  42.9678  21.4011  59.1958  162.673  49.5825  13.8476  45.2872  3724.5  3665.74  25.4661
0  63  1760.37  360.986  3694.86  25667.1  1434.83  74.9375  645.082  316647  41573.2  42.6794  21.6713  61.7599  164.946  49.8151  14.5228  43.4845  3697.99  3636.13  33.449
0  64  1532.01  353.224  3410.88  26471.6  1353.86  90.0561  592.567  306395  33372.1  39.8705  21.3543  59.2928  167.805  49.9216  14.3071  43.8735  3685.99  3629.01  22.2997
